,phase,set_input_voltage,set_output_voltage,U_in,I_in,P_in,U_out,I_out,P_out,n
0,5.0,25.0,8.0,24.95185,0.02441032,0.6090827,8.035732,0.05344372,0.4294594,0.7050921
1,5.0,25.0,8.5,24.95294,0.02279463,0.5687931,8.563641,0.04109972,0.3519632,0.6187896
2,5.0,25.0,9.0,24.95338,0.02148316,0.5360774,9.053652,0.0328048,0.2970033,0.5540305
3,5.0,25.0,9.5,24.95469,0.02063024,0.5148215,9.557471,0.02691278,0.2572181,0.4996259
4,5.0,25.0,10.0,24.95509,0.02018308,0.5036707,10.05317,0.02185407,0.2197027,0.4362032
5,5.0,25.0,10.5,24.95577,0.01987747,0.4960574,10.54765,0.01755866,0.1852026,0.3733491
6,5.0,25.0,11.0,24.95548,0.01963164,0.489917,11.04413,0.01409845,0.155705,0.3178192
7,5.0,25.0,11.5,24.95568,0.01946611,0.48579,11.54438,0.01155329,0.1333755,0.2745539
8,5.0,25.0,12.0,24.95568,0.0193625,0.4832045,12.04943,0.01054131,0.1270167,0.2628633
9,5.0,25.5,8.0,25.49325,0.02522518,0.643072,8.067388,0.05452584,0.4398811,0.6840308
10,5.0,25.5,8.5,25.49425,0.02367967,0.6036955,8.565658,0.04502983,0.3857101,0.638915
11,5.0,25.5,9.0,25.49518,0.02224027,0.5670196,9.0555,0.03618954,0.3277144,0.5779595
12,5.0,25.5,9.5,25.4957,0.02119099,0.5402792,9.558848,0.02928394,0.2799207,0.5181038
13,5.0,25.5,10.0,25.49603,0.02064022,0.5262436,10.05427,0.02408624,0.2421695,0.4601851
14,5.0,25.5,10.5,25.49663,0.02029444,0.5174398,10.5485,0.01945961,0.2052697,0.3967025
15,5.0,25.5,11.0,25.49692,0.02002788,0.5106493,11.04499,0.015282,0.1687896,0.3305392
16,5.0,25.5,11.5,25.49683,0.01983304,0.5056797,11.54512,0.01280314,0.1478138,0.2923072
17,5.0,25.5,12.0,25.4974,0.01971246,0.5026165,12.05033,0.01161764,0.1399964,0.2785352
18,5.0,26.0,8.0,25.98915,0.02604849,0.6769779,8.070173,0.05818997,0.4696032,0.6936758
19,5.0,26.0,8.5,25.99016,0.02450359,0.6368523,8.56854,0.04873254,0.4175667,0.6556727
20,5.0,26.0,9.0,25.99151,0.02299047,0.5975569,9.057842,0.03957452,0.3584598,0.5998755
21,5.0,26.0,9.5,25.99245,0.02176305,0.565675,9.560644,0.03169574,0.3030317,0.5356993
22,5.0,26.0,10.0,25.99273,0.02107893,0.5478991,10.05579,0.02589067,0.2603511,0.4751808
23,5.0,26.0,10.5,25.99243,0.02068253,0.5375892,10.54981,0.02099891,0.2215345,0.4120889
24,5.0,26.0,11.0,25.99312,0.02040404,0.5303648,11.04581,0.01683115,0.1859137,0.3505394
25,5.0,26.0,11.5,25.9936,0.02018037,0.5245605,11.54597,0.01375568,0.1588226,0.3027726
26,5.0,26.0,12.0,25.99325,0.02003383,0.5207443,12.05077,0.01250942,0.1507481,0.2894859
27,5.0,26.5,8.0,26.48494,0.02686591,0.711542,8.072846,0.06192812,0.4999362,0.7026096
28,5.0,26.5,8.5,26.48644,0.02534138,0.671203,8.570856,0.05247423,0.4497491,0.6700642
29,5.0,26.5,9.0,26.48744,0.02378427,0.6299846,9.060294,0.04295461,0.3891813,0.6177633
30,5.0,26.5,9.5,26.48843,0.02239612,0.5932382,9.562584,0.0347533,0.3323313,0.5601988
31,5.0,26.5,10.0,26.48901,0.02154665,0.5707495,10.05705,0.02795487,0.2811437,0.4925868
32,5.0,26.5,10.5,26.4891,0.02108985,0.5586511,10.55061,0.02265632,0.239038,0.4278841
33,5.0,26.5,11.0,26.48932,0.02078275,0.550521,11.04657,0.01821356,0.2011972,0.365467
34,5.0,26.5,11.5,26.48977,0.0205343,0.5439488,11.54643,0.01518497,0.1753323,0.3223324
35,5.0,26.5,12.0,26.49002,0.0203648,0.5394641,12.05151,0.0134694,0.1623266,0.3009034
36,5.0,27.0,8.0,26.95592,0.02767094,0.7458955,8.075288,0.06561696,0.5298758,0.7103888
37,5.0,27.0,8.5,26.95712,0.02618415,0.7058491,8.573642,0.0562479,0.4822493,0.6832188
38,5.0,27.0,9.0,26.95897,0.02460296,0.6632705,9.063012,0.04672355,0.4234561,0.6384365
39,5.0,27.0,9.5,26.95939,0.02309131,0.6225278,9.564794,0.03748288,0.358516,0.5759037
40,5.0,27.0,10.0,26.95978,0.02206273,0.5948064,10.05866,0.03034855,0.3052656,0.5132185
41,5.0,27.0,10.5,26.95992,0.02151107,0.5799367,10.55191,0.02461811,0.2597681,0.4479249
42,5.0,27.0,11.0,26.96054,0.02115781,0.5704259,11.0477,0.01974001,0.2180817,0.3823139
43,5.0,27.0,11.5,26.9602,0.02090344,0.5635611,11.54785,0.01637151,0.1890557,0.3354662
44,5.0,27.0,12.0,26.96037,0.02070471,0.5582066,12.0526,0.01466035,0.1766954,0.3165412
45,5.0,27.5,8.0,27.46954,0.02848203,0.7823882,8.078061,0.06941245,0.560718,0.716675
46,5.0,27.5,8.5,27.47016,0.02705502,0.7432057,8.576382,0.06018921,0.5162056,0.6945664
47,5.0,27.5,9.0,27.47135,0.02547181,0.699745,9.065611,0.05064772,0.4591525,0.6561712
48,5.0,27.5,9.5,27.47266,0.02386955,0.6557599,9.567164,0.04111332,0.3933379,0.59982
49,5.0,27.5,10.0,27.47385,0.02265095,0.6223087,10.06059,0.0329466,0.3314624,0.5326334
50,5.0,27.5,10.5,27.47395,0.02196362,0.6034272,10.55328,0.02669171,0.281685,0.4668086
51,5.0,27.5,11.0,27.47439,0.02156502,0.5924857,11.04881,0.02155194,0.2381232,0.4019054
52,5.0,27.5,11.5,27.4744,0.02128881,0.5848973,11.54868,0.01798954,0.2077555,0.3552
53,5.0,27.5,12.0,27.47425,0.0210678,0.578822,12.05327,0.01582009,0.1906837,0.3294342
54,5.0,28.0,8.0,27.96337,0.02923034,0.8173787,8.080541,0.07291042,0.5891556,0.7207866
55,5.0,28.0,8.5,27.96425,0.02789188,0.7799755,8.578937,0.06390081,0.548201,0.7028438
56,5.0,28.0,9.0,27.96545,0.02631876,0.7360158,9.068439,0.05429734,0.4923921,0.6689966
57,5.0,28.0,9.5,27.96806,0.02467001,0.6899722,9.56982,0.04458699,0.4266894,0.6184154
58,5.0,28.0,10.0,27.96873,0.02328188,0.6511647,10.06277,0.03584844,0.3607346,0.5539837
59,5.0,28.0,10.5,27.96919,0.02243273,0.6274253,10.55487,0.02882968,0.3042936,0.4849879
60,5.0,28.0,11.0,27.96969,0.02196687,0.6144066,11.05002,0.02351426,0.259833,0.4229006
61,5.0,28.0,11.5,27.96947,0.02165747,0.6057479,11.54954,0.01961102,0.2264983,0.3739152
62,5.0,28.0,12.0,27.96997,0.02142,0.5991169,12.0542,0.01726462,0.2081112,0.3473632
63,5.0,28.5,8.0,28.46058,0.02992947,0.8518102,8.082823,0.0762642,0.61643,0.7236706
64,5.0,28.5,8.5,28.461,0.02871532,0.8172666,8.581714,0.06768987,0.5808951,0.7107779
65,5.0,28.5,9.0,28.46301,0.02717405,0.773455,9.071179,0.05819889,0.5279326,0.682564
66,5.0,28.5,9.5,28.46361,0.02549567,0.7256986,9.572391,0.04836685,0.4629864,0.6379871
67,5.0,28.5,10.0,28.46493,0.02397686,0.6824996,10.06493,0.03898762,0.3924076,0.5749564
68,5.0,28.5,10.5,28.46603,0.02294629,0.6531897,10.55654,0.03129063,0.3303209,0.5057043
69,5.0,28.5,11.0,28.46684,0.02238778,0.6373093,11.05139,0.02552289,0.2820632,0.4425845
70,5.0,28.5,11.5,28.46642,0.02203422,0.6272352,11.55069,0.02131325,0.2461827,0.3924886
71,5.0,28.5,12.0,28.46682,0.02178453,0.6201363,12.05494,0.01858458,0.224036,0.361269
72,5.0,29.0,8.0,28.95638,0.03056631,0.8850898,8.084979,0.07945877,0.6424224,0.7258275
73,5.0,29.0,8.5,28.95757,0.02952783,0.8550541,8.584178,0.07145474,0.6133802,0.7173584
74,5.0,29.0,9.0,28.9591,0.02803553,0.8118836,9.073882,0.06202316,0.5627908,0.6931915
75,5.0,29.0,9.5,28.96022,0.02634634,0.7629957,9.574969,0.05219448,0.4997606,0.6549979
76,5.0,29.0,10.0,28.96147,0.02473404,0.7163342,10.06734,0.04228238,0.425671,0.5942353
77,5.0,29.0,10.5,28.96238,0.02350994,0.6809039,10.5582,0.03392625,0.3582002,0.5260656
78,5.0,29.0,11.0,28.96264,0.02282333,0.6610238,11.05247,0.02744503,0.3033355,0.4588875
79,5.0,29.0,11.5,28.96381,0.02241959,0.6493568,11.55165,0.02289693,0.2644974,0.4073221
80,5.0,29.0,12.0,28.96368,0.0221474,0.6414703,12.05585,0.01992725,0.2402398,0.3745144
81,5.0,29.5,8.0,29.45299,0.03109976,0.9159808,8.086855,0.08231346,0.665657,0.7267151
82,5.0,29.5,8.5,29.4536,0.03030385,0.8925574,8.586517,0.07505475,0.6444589,0.7220364
83,5.0,29.5,9.0,29.45533,0.02888431,0.8507969,9.076452,0.06591693,0.5982919,0.7032136
84,5.0,29.5,9.5,29.45599,0.02720342,0.8013037,9.577813,0.05592793,0.5356673,0.6684948
85,5.0,29.5,10.0,29.45778,0.02553478,0.752198,10.06965,0.04592552,0.4624538,0.6148033
86,5.0,29.5,10.5,29.45841,0.02413501,0.7109792,10.56002,0.03679625,0.3885691,0.5465267
87,5.0,29.5,11.0,29.4596,0.02329065,0.6861333,11.05404,0.029778,0.3291672,0.4797423
88,5.0,29.5,11.5,29.45968,0.02282272,0.6723501,11.55289,0.02479012,0.2863975,0.4259648
89,5.0,29.5,12.0,29.45993,0.0225114,0.6631844,12.05692,0.02160387,0.2604762,0.3927659
90,5.0,30.0,8.0,29.96901,0.03152608,0.9448054,8.08876,0.08512937,0.6885911,0.7288178
91,5.0,30.0,8.5,29.96904,0.03107452,0.9312735,8.588891,0.07871209,0.6760496,0.7259409
92,5.0,30.0,9.0,29.97001,0.0297654,0.8920692,9.078998,0.06994553,0.6350353,0.7118677
93,5.0,30.0,9.5,29.97162,0.02810693,0.8424103,9.58038,0.06005329,0.5753333,0.6829609
94,5.0,30.0,10.0,29.97316,0.02639851,0.7912467,10.07252,0.04978152,0.5014253,0.6337156
95,5.0,30.0,10.5,29.97434,0.02485588,0.7450386,10.56234,0.04013939,0.4239659,0.5690523
96,5.0,30.0,11.0,29.97509,0.02382079,0.7140302,11.0558,0.03221101,0.3561184,0.4987442
97,5.0,30.0,11.5,29.97584,0.0232545,0.697073,11.55407,0.02695579,0.3114492,0.4467957
98,5.0,30.0,12.0,29.97566,0.0228948,0.6862866,12.05802,0.02326354,0.2805122,0.4087392
99,5.0,30.5,8.0,30.46171,0.03176609,0.9676495,8.036906,0.08965775,0.720571,0.7446612
100,5.0,30.5,8.5,30.46146,0.03181842,0.9692357,8.541379,0.08440469,0.7209325,0.7438155
101,5.0,30.5,9.0,30.4626,0.03058484,0.9316937,9.08186,0.07360941,0.6685103,0.7175215
102,5.0,30.5,9.5,30.46457,0.02897164,0.8826084,9.583056,0.06394728,0.6128104,0.6943174
103,5.0,30.5,10.0,30.46562,0.02725134,0.8302289,10.07518,0.05367117,0.5407467,0.6513224
104,5.0,30.5,10.5,30.46697,0.02560772,0.7801898,10.56468,0.04345996,0.4591407,0.5884987
105,5.0,30.5,11.0,30.46776,0.02437612,0.7426859,11.05757,0.03500081,0.3870241,0.5211141
106,5.0,30.5,11.5,30.46841,0.02370102,0.7221323,11.55557,0.02908861,0.3361353,0.4654761
107,5.0,30.5,12.0,30.46883,0.02329312,0.709714,12.05926,0.02505227,0.3021119,0.4256812
108,5.0,31.0,8.0,30.95864,0.03196764,0.9896746,8.037303,0.09184195,0.7381616,0.7458629
109,5.0,31.0,8.5,30.95805,0.03234719,1.001406,8.541651,0.08710052,0.7439823,0.7429377
110,5.0,31.0,9.0,30.95902,0.03149038,0.9749114,9.037581,0.07987666,0.7218918,0.7404692
111,5.0,31.0,9.5,30.95978,0.02982884,0.9234943,9.585967,0.0677769,0.6497071,0.7035312
112,5.0,31.0,10.0,30.96166,0.02812376,0.8707582,10.07827,0.05756545,0.5801604,0.6662704
113,5.0,31.0,10.5,30.96315,0.02642893,0.8183228,10.56738,0.04715075,0.4982599,0.6088794
114,5.0,31.0,11.0,30.96406,0.02501608,0.7745993,11.05969,0.03795046,0.4197202,0.5418546
115,5.0,31.0,11.5,30.96451,0.02417045,0.7484262,11.55713,0.03138526,0.3627236,0.4846485
116,5.0,31.0,12.0,30.96514,0.02369445,0.7337021,12.06071,0.0268745,0.3241255,0.4417672
117,5.0,31.5,8.0,31.4554,0.03216441,1.011744,8.037341,0.09409892,0.7563051,0.7475259
118,5.0,31.5,8.5,31.45519,0.03277812,1.031042,8.541902,0.08988463,0.7677857,0.7446696
119,5.0,31.5,9.0,31.45525,0.03224764,1.014358,9.037953,0.08329346,0.7528024,0.742147
120,5.0,31.5,9.5,31.45733,0.03069099,0.9654568,9.588823,0.0717795,0.688281,0.7129071
121,5.0,31.5,10.0,31.45857,0.02900247,0.9123764,10.08125,0.06149282,0.6199245,0.6794614
122,5.0,31.5,10.5,31.45938,0.02726591,0.8577687,10.57024,0.0509029,0.5380558,0.6272739
