,U_in,I_in,P_in,U_out,I_out,P_out,n
0,26.98097,0.08280792,2.234238,8.033587,0.2713396,2.17983,0.9756483
1,26.9801,0.0883154,2.382759,8.051632,0.2692993,2.168298,0.9099951
2,26.98006,0.09234805,2.491556,8.532681,0.2643911,2.255965,0.9054443
3,26.97915,0.09658496,2.60578,9.018708,0.260406,2.348526,0.9012757
4,26.978,0.1012077,2.730383,9.535067,0.2566811,2.447471,0.8963838
5,26.97678,0.1057128,2.851791,10.0281,0.2534819,2.541941,0.8913487
6,26.97575,0.1103437,2.976604,10.52852,0.2503068,2.635359,0.8853578
7,26.97547,0.1149245,3.100143,11.01942,0.2474027,2.726233,0.8793896
8,26.97469,0.1197366,3.229856,11.52947,0.244718,2.821468,0.8735582
9,25.88021,0.1243075,3.217104,12.04746,0.2300569,2.7716,0.8615202
10,24.94277,0.08706817,2.171721,8.046571,0.2435451,1.959703,0.9023733
11,24.94201,0.09126505,2.276334,8.526318,0.2395283,2.042295,0.8971858
12,24.94129,0.09563586,2.385282,9.011388,0.2360999,2.127588,0.8919648
13,24.94056,0.1003817,2.503577,9.528806,0.2329107,2.219361,0.8864762
14,24.94007,0.105108,2.621401,10.0373,0.2298907,2.307482,0.8802478
15,24.93949,0.1096329,2.734188,10.52047,0.2270207,2.388365,0.8735188
16,24.93839,0.1144308,2.853719,11.02931,0.2241928,2.472691,0.8664804
17,24.93792,0.1190913,2.96989,11.52013,0.2217606,2.554711,0.8602037
18,25.23121,0.1241082,3.131401,12.04121,0.2228227,2.683056,0.8568229
19,25.48503,0.08882589,2.26373,8.210905,0.2500112,2.052818,0.90683
20,25.48458,0.09150632,2.332001,8.523312,0.2461374,2.097906,0.8996164
21,25.48388,0.09601227,2.446765,9.02867,0.2423859,2.188422,0.8944146
22,25.48333,0.1005364,2.562002,9.524595,0.2392152,2.278428,0.8893155
23,25.48223,0.1052713,2.682546,10.03599,0.2361268,2.369766,0.8834017
24,25.48111,0.1097903,2.797577,10.52004,0.2332378,2.45367,0.8770695
25,25.48061,0.1145685,2.919275,11.02762,0.2303744,2.540481,0.870244
26,25.47933,0.1191983,3.037094,11.51513,0.2279044,2.624348,0.8640984
27,25.7446,0.12423,3.198251,12.0386,0.228563,2.751579,0.8603385
28,25.98166,0.08928291,2.319718,8.23066,0.2561872,2.10859,0.9089854
29,25.98092,0.09171976,2.382964,8.521037,0.2522445,2.149385,0.9019797
30,25.98081,0.09621062,2.499629,9.02632,0.2483408,2.241604,0.8967743
31,25.98008,0.1007181,2.616665,9.523611,0.2450647,2.3339,0.8919371
32,25.979,0.1054182,2.738659,10.03352,0.2419296,2.427404,0.8863478
33,25.97848,0.1099093,2.855277,10.51619,0.2389476,2.512819,0.8800611
34,25.97767,0.1146787,2.979084,11.02396,0.2360458,2.60216,0.8734767
35,25.97709,0.119504,3.104368,11.53299,0.233439,2.69225,0.8672457
36,26.23664,0.1243376,3.262202,12.03377,0.2340868,2.816946,0.8635105
37,26.47861,0.09018425,2.387954,8.29882,0.2621195,2.175282,0.9109398
38,26.4779,0.09191918,2.433827,8.516274,0.2584029,2.20063,0.9041851
39,26.47714,0.0963832,2.551952,9.022474,0.2543148,2.294549,0.8991348
40,26.47683,0.1010432,2.675305,9.539391,0.2507867,2.392352,0.8942353
41,26.47608,0.1055494,2.794535,10.02977,0.2477022,2.484397,0.8890198
42,26.47526,0.1102173,2.918032,10.53218,0.2445522,2.575666,0.8826724
43,26.47428,0.114771,3.038479,11.01864,0.2417253,2.663483,0.8765844
44,26.47347,0.119611,3.166517,11.53025,0.2390636,2.756463,0.8705031
45,26.73021,0.124455,3.326708,12.03316,0.2396617,2.883888,0.8668895
46,26.97972,0.09077597,2.449111,8.331068,0.2683487,2.235631,0.9128338
47,26.98028,0.09235093,2.491654,8.533581,0.2644421,2.256638,0.9056788
48,26.97995,0.09657092,2.605479,9.017849,0.2603826,2.348091,0.9012128
49,26.97869,0.1012057,2.730398,9.533732,0.2567346,2.447639,0.8964402
50,26.9777,0.1056874,2.851203,10.02468,0.253476,2.541015,0.891208
51,26.97692,0.1103479,2.976845,10.52874,0.2503143,2.635494,0.8853313
52,26.97631,0.1149223,3.100178,11.01803,0.2474511,2.726423,0.8794408
53,26.97538,0.119709,3.229196,11.52719,0.2447286,2.821034,0.8736028
54,27.25624,0.1247444,3.400063,12.04846,0.2454516,2.957315,0.8697825
55,27.49529,0.09145809,2.514667,8.369586,0.2748324,2.300233,0.9147269
56,27.49481,0.0926377,2.547056,8.530866,0.2709743,2.311645,0.9075754
57,27.49406,0.09681797,2.661919,9.015888,0.2666685,2.404253,0.903203
58,27.49266,0.1014088,2.787998,9.532103,0.262859,2.505599,0.8987089
59,27.49297,0.1060349,2.915213,10.04031,0.2594605,2.605063,0.8936099
60,27.49142,0.1105177,3.038289,10.52768,0.256255,2.697771,0.8879244
61,27.49049,0.115243,3.168086,11.03525,0.2532405,2.794573,0.8821014
62,27.49014,0.1198343,3.294262,11.52461,0.2506061,2.888138,0.8767177
63,27.75914,0.1248609,3.466031,12.04681,0.2511632,3.025714,0.8729621
64,27.98983,0.09045272,2.531756,8.214975,0.2823033,2.319115,0.9160103
65,27.98941,0.0928931,2.600023,8.528235,0.2772588,2.364528,0.9094257
66,27.98781,0.09721714,2.720894,9.034114,0.2725873,2.462585,0.9050645
67,27.98728,0.1015953,2.843377,9.529797,0.268821,2.561809,0.900974
