,U_in,I_in,P_in,U_out,I_out,P_out,n
0,34.95939,0.2843429,9.940454,12.1461,0.7384745,8.969583,0.9023314
1,34.97799,0.1994916,6.977816,8.34672,0.7538365,6.292062,0.9017237
2,34.97778,0.2046242,7.157301,8.57443,0.7522871,6.450433,0.9012381
3,34.97625,0.2154367,7.535167,9.058621,0.7507434,6.8007,0.9025281
4,34.97394,0.2267923,7.931819,9.567705,0.7489753,7.165975,0.9034466
5,34.97213,0.2377918,8.316086,10.06094,0.7472883,7.518425,0.9040822
6,34.96989,0.2490676,8.709867,10.56619,0.7455466,7.877589,0.9044442
7,34.96815,0.2604005,9.105722,11.07435,0.7438558,8.23772,0.9046751
8,34.96644,0.2712429,9.484401,11.56008,0.7422336,8.58028,0.9046729
9,30.01508,0.2805966,8.422129,12.06745,0.6299131,7.601447,0.9025564
10,24.92652,0.1904148,4.746377,8.093434,0.5260423,4.257489,0.8969976
11,24.92473,0.2010667,5.011533,8.570485,0.5244079,4.49443,0.8968174
12,24.92249,0.2122612,5.290076,9.071836,0.5227095,4.741935,0.8963831
13,24.92059,0.2233713,5.566544,9.569392,0.5211143,4.986747,0.8958426
14,24.91909,0.2347952,5.850883,10.08086,0.5193884,5.235881,0.8948873
15,24.91702,0.2456485,6.12083,10.56732,0.5176973,5.47067,0.8937792
16,24.91543,0.2569246,6.401387,11.07216,0.5159324,5.712484,0.8923821
17,24.91375,0.2678792,6.673878,11.56341,0.5143086,5.947159,0.8911101
18,25.20471,0.2796786,7.049218,12.08712,0.5192414,6.276134,0.8903304
19,25.4679,0.1982035,5.047828,8.437011,0.5378558,4.537895,0.8989798
20,25.46677,0.2014527,5.13035,8.579477,0.5365728,4.603514,0.8973099
21,25.46501,0.2122384,5.404653,9.063015,0.5349381,4.848152,0.897033
22,25.46305,0.2236813,5.695607,9.575661,0.5332578,5.106296,0.8965323
23,25.46093,0.2351554,5.987277,10.08928,0.5315307,5.362762,0.895693
24,25.45988,0.2460465,6.264314,10.5772,0.5298628,5.604465,0.8946654
25,25.45746,0.2569681,6.541757,11.06694,0.5281491,5.844994,0.8934898
26,25.45578,0.2683243,6.830404,11.57489,0.5264649,6.093773,0.8921541
27,25.72606,0.2799548,7.202134,12.09179,0.5309289,6.419881,0.8913861
28,25.96404,0.1987269,5.159753,8.452713,0.5489742,4.640321,0.89933
29,25.96332,0.2016684,5.235982,8.582029,0.5476987,4.700366,0.8977048
30,25.96159,0.2124613,5.515833,9.065392,0.5460423,4.950088,0.8974324
31,25.95967,0.224078,5.81699,9.585477,0.5443951,5.218287,0.8970768
32,25.95789,0.2350218,6.100669,10.07653,0.5427315,5.46885,0.8964344
33,25.95654,0.2463273,6.393805,10.58235,0.5409947,5.724997,0.8953975
34,25.95425,0.2571971,6.675357,11.06953,0.539306,5.969866,0.8943142
35,25.95288,0.268649,6.972215,11.58208,0.5376063,6.226597,0.8930587
36,26.21333,0.2799649,7.338811,12.0848,0.5418988,6.548737,0.892343
37,26.46089,0.1958134,5.181397,8.313465,0.560515,4.659822,0.8993369
38,26.46002,0.2015774,5.333741,8.570304,0.5589131,4.790055,0.8980666
39,26.45847,0.2128119,5.630679,9.073169,0.5572135,5.055692,0.8978832
40,26.45648,0.2239136,5.923965,9.571038,0.5555938,5.317609,0.8976435
41,26.45483,0.2353153,6.225228,10.08164,0.5539228,5.584451,0.8970677
42,26.45344,0.246692,6.525851,10.59066,0.5521429,5.847559,0.8960608
43,26.45166,0.257538,6.812308,11.0768,0.550471,6.097458,0.8950651
44,26.44973,0.2689201,7.112863,11.587,0.548768,6.358574,0.8939542
45,26.71147,0.2802185,7.485047,12.08889,0.5531048,6.686423,0.893304
46,26.95792,0.1962475,5.290423,8.32622,0.5716395,4.759596,0.8996626
47,26.96295,0.2018142,5.441506,8.573753,0.5700911,4.88782,0.8982477
48,26.96093,0.213014,5.743054,9.07455,0.5683761,5.157757,0.8980861
49,26.95944,0.2244241,6.050348,9.586123,0.5667142,5.432592,0.8978974
50,26.95739,0.235382,6.345286,10.0772,0.5650677,5.694301,0.8974065
51,26.95533,0.2467306,6.650705,10.58536,0.5633125,5.962864,0.8965762
52,26.95328,0.2575692,6.942336,11.07096,0.5616295,6.217781,0.8956324
53,26.95154,0.268968,7.249102,11.58179,0.5599308,6.485,0.8945935
54,27.21603,0.2802625,7.627633,12.08335,0.5643281,6.818972,0.8939828
55,27.47849,0.1976347,5.430703,8.380779,0.5830663,4.88655,0.8998007
56,27.47822,0.2023591,5.560469,8.590047,0.5816082,4.996041,0.8984928
57,27.47579,0.2130806,5.854558,9.070168,0.5799637,5.260368,0.8985082
58,27.47354,0.2246307,6.1714,9.587353,0.5782747,5.544123,0.8983575
59,27.47164,0.2355893,6.472024,10.07824,0.5766527,5.811644,0.8979638
60,27.46972,0.2469215,6.782865,10.58577,0.5749122,6.08589,0.8972448
61,27.46752,0.2580954,7.08924,11.08696,0.5731805,6.354827,0.8964047
62,27.46588,0.2691387,7.392131,11.58142,0.5715269,6.619094,0.8954243
63,27.72381,0.2804974,7.776457,12.08606,0.5757787,6.958894,0.8948669
64,27.97345,0.1966033,5.499672,8.327442,0.5943736,4.949612,0.8999831
65,27.97177,0.2023505,5.660102,8.582414,0.5927553,5.087271,0.8987949
66,27.97015,0.2136094,5.974687,9.086557,0.5910455,5.370569,0.8988871
67,27.96813,0.2247316,6.285323,9.58505,0.5894351,5.649765,0.8988822
68,27.96632,0.2361353,6.603834,10.09597,0.5877344,5.933751,0.8985311
69,27.96433,0.2470001,6.907192,10.58255,0.5860589,6.201995,0.8979039
70,27.96284,0.2582804,7.222253,11.08785,0.584325,6.47891,0.897076
71,27.9611,0.2692053,7.527277,11.57774,0.5826979,6.746325,0.8962502
72,28.23005,0.2809153,7.930253,12.09742,0.5871372,7.102845,0.8956645
73,28.46963,0.1997739,5.687488,8.46238,0.6051707,5.121185,0.90043
74,28.4689,0.2026201,5.768373,8.587184,0.6039022,5.18582,0.8990091
75,28.46693,0.2137838,6.08577,9.087274,0.602238,5.472702,0.899262
76,28.46519,0.2248868,6.401447,9.584445,0.6006221,5.756629,0.89927
77,28.46299,0.2362961,6.725693,10.09562,0.5989085,6.046352,0.8989932
78,28.46126,0.2471409,7.033941,10.58194,0.59725,6.320065,0.8985098
79,28.45964,0.2584267,7.354732,11.08691,0.5955051,6.602312,0.8976959
80,28.45776,0.2693555,7.665252,11.57688,0.5938755,6.875226,0.8969342
81,28.7238,0.2811154,8.074702,12.09981,0.5982354,7.238535,0.896446
82,28.96657,0.1958544,5.673229,8.278329,0.6168508,5.106494,0.9001035
83,28.96489,0.2027805,5.873513,8.587403,0.615083,5.281966,0.8992856
84,28.96275,0.2139675,6.197088,9.088593,0.6133701,5.574671,0.8995631
85,28.96157,0.2251131,6.519628,9.587065,0.6117566,5.86495,0.8995836
86,28.96001,0.2365624,6.85085,10.09994,0.6100664,6.161636,0.8993973
87,28.95785,0.2474558,7.165788,10.58799,0.6083775,6.441495,0.8989235
88,28.95619,0.2583687,7.481375,11.07707,0.6066995,6.720452,0.8982911
89,28.95458,0.2697881,7.811601,11.58844,0.605005,7.011066,0.8975198
90,29.21065,0.2811038,8.211226,12.09146,0.6092125,7.366267,0.8970972
91,29.4622,0.1983539,5.843944,8.383756,0.6277057,5.262531,0.9005103
92,29.46176,0.2032076,5.986854,8.598381,0.6262124,5.384413,0.8993728
93,29.45916,0.2139403,6.302502,9.079207,0.6245904,5.670786,0.8997674
94,29.4579,0.2255055,6.642917,9.597189,0.6228971,5.978061,0.8999151
95,29.45623,0.2364789,6.965775,10.08855,0.6212772,6.267785,0.8997971
96,29.45455,0.2477919,7.2986,10.59531,0.6195464,6.564288,0.89939
97,29.45223,0.2586577,7.618046,11.08201,0.6178496,6.847013,0.8987887
98,29.45002,0.269991,7.95124,11.59045,0.6161453,7.141398,0.898149
99,29.71622,0.2812817,8.358628,12.09166,0.6205809,7.503852,0.8977373
100,29.97779,0.1985269,5.951398,8.382912,0.639281,5.359036,0.9004668
101,29.97618,0.2034417,6.098404,8.600804,0.637762,5.485266,0.8994592
102,29.97472,0.2142227,6.421264,9.083591,0.6361302,5.778347,0.8998768
103,29.97288,0.2257396,6.766068,9.599089,0.6344848,6.090476,0.90015
104,29.97068,0.2366701,7.093163,10.08896,0.6328382,6.384679,0.9001173
105,29.96855,0.2480003,7.432209,10.59698,0.6310834,6.687576,0.89981
106,29.96739,0.2588959,7.758434,11.08485,0.6294087,6.976901,0.8992666
107,29.96536,0.2702132,8.097037,11.59178,0.6277304,7.276512,0.8986635
108,30.23414,0.2818506,8.521511,12.10922,0.6321344,7.654655,0.8982744
109,30.47029,0.2001546,6.098771,8.448492,0.6501813,5.493052,0.9006817
110,30.46953,0.2026464,6.174539,8.557262,0.6509169,5.570066,0.9021025
111,30.46726,0.2138399,6.515115,9.058466,0.6491136,5.879973,0.9025126
112,30.46658,0.2249162,6.852426,9.554821,0.6475065,6.186809,0.9028639
113,30.46489,0.2363223,7.199535,10.06633,0.6459334,6.502179,0.9031388
114,30.46255,0.2472371,7.531472,10.55466,0.6442044,6.799357,0.9027926
115,30.4611,0.2581424,7.8633,11.04311,0.6425312,7.095541,0.9023618
116,30.45902,0.2695656,8.210704,11.55495,0.6409245,7.405849,0.9019749
117,30.71267,0.2808633,8.62606,12.05739,0.6450585,7.777719,0.9016537
118,30.96642,0.1983347,6.141716,8.358852,0.6634995,5.546095,0.9030204
119,30.96544,0.2029637,6.284861,8.564004,0.6620145,5.669495,0.9020875
120,30.96345,0.2137411,6.61816,9.046648,0.6604852,5.975177,0.9028457
121,30.96169,0.2252413,6.973851,9.562155,0.6587821,6.299376,0.9032851
122,30.9597,0.2361911,7.312405,10.05253,0.6571342,6.605859,0.9033771
123,30.95781,0.2475189,7.662645,10.56025,0.655373,6.920905,0.9032005
124,30.9558,0.2584073,7.999202,11.04776,0.6537673,7.222663,0.9029229
125,30.95429,0.2697521,8.349987,11.55631,0.652042,7.535202,0.9024207
126,31.20955,0.2810466,8.771339,12.05847,0.6561145,7.911738,0.9019989
127,31.46315,0.1984766,6.2447,8.357879,0.6746981,5.639045,0.9030129
128,31.46131,0.203157,6.391586,8.565387,0.6731841,5.766082,0.9021363
129,31.4605,0.2139352,6.730509,9.047482,0.6715693,6.076011,0.9027566
130,31.45831,0.2254082,7.090962,9.561625,0.6699339,6.405656,0.9033551
131,31.45712,0.2363831,7.435933,10.05343,0.668308,6.718789,0.9035569
132,31.4548,0.2476885,7.790993,10.55968,0.666623,7.039328,0.9035214
133,31.45311,0.2585938,8.133578,11.04818,0.6649347,7.346319,0.9032088
134,31.45136,0.269941,8.49001,11.55639,0.6631711,7.663867,0.9026923
135,31.70589,0.2812406,8.916982,12.05902,0.6672006,8.045787,0.9022993
136,31.95809,0.1987114,6.350437,8.360426,0.6858823,5.734268,0.9029722
137,31.95715,0.2033677,6.499054,8.566496,0.6843376,5.862375,0.9020351
138,31.95527,0.2141437,6.843019,9.048904,0.6827179,6.177849,0.9027957
139,31.95361,0.2255901,7.208417,9.562097,0.6810527,6.512292,0.9034289
140,31.95183,0.2365651,7.558688,10.05355,0.6794599,6.830985,0.9037262
141,31.95015,0.2478312,7.918243,10.55877,0.6777428,7.156131,0.9037523
142,31.94826,0.2591137,8.278232,11.06394,0.6760567,7.47985,0.9035565
143,31.9461,0.2700849,8.628158,11.55549,0.6743634,7.792598,0.903159
144,32.23004,0.2818541,9.084169,12.078,0.6791508,8.202782,0.9029754
145,32.47431,0.1995517,6.480305,8.389685,0.6974783,5.851623,0.9029857
146,32.47339,0.2035191,6.608954,8.564542,0.6960536,5.96138,0.9020157
147,32.47203,0.2143032,6.958861,9.0481,0.6943874,6.282887,0.9028614
148,32.4698,0.2257957,7.331541,9.562304,0.6928125,6.624884,0.903614
149,32.46802,0.2367504,7.686817,10.0537,0.6911912,6.949027,0.9040187
150,32.46638,0.2480569,8.053513,10.55999,0.6894625,7.280715,0.9040422
151,32.46451,0.2593484,8.419617,11.06641,0.6876488,7.609803,0.9038182
152,32.46279,0.2702381,8.772683,11.55441,0.6859705,7.925985,0.9034848
153,32.73016,0.2819478,9.228197,12.07413,0.6903883,8.335835,0.9033005
154,32.9705,0.1963884,6.475024,8.238974,0.7090369,5.841736,0.9021953
155,32.96934,0.2036355,6.713728,8.562162,0.7072301,6.055419,0.9019458
156,32.96776,0.2147989,7.081439,9.062635,0.7054951,6.393645,0.9028736
157,32.96574,0.2258112,7.444033,9.556272,0.7039173,6.726825,0.9036533
158,32.96353,0.2372201,7.819613,10.06681,0.7021666,7.068577,0.9039549
159,32.96161,0.2480834,8.177229,10.55381,0.7005849,7.393837,0.9041983
160,32.95947,0.2594501,8.551336,11.06319,0.6988489,7.731501,0.9041277
161,32.95824,0.2703631,8.910689,11.55213,0.6972634,8.054876,0.9039566
162,33.2248,0.2821378,9.373973,12.07451,0.7015426,8.470783,0.9036492
163,33.46662,0.1964059,6.573041,8.230678,0.7202829,5.928416,0.9019291
164,33.46555,0.2038573,6.822196,8.563607,0.7183619,6.151769,0.9017286
165,33.46312,0.2150765,7.197132,9.066811,0.7166569,6.497793,0.9028308
