,set_voltage_in,set_voltage_out,phase,measured_voltage_in,measured_current_in,measured_power_in,measured_voltage_out,measured_current_out,measured_power_out,wirkung
0,25.0,8.0,75.0,24.93012,0.1848551,4.60846,8.090958,0.5144628,4.162497,0.9032293
1,25.0,8.5,75.0,24.92772,0.1957484,4.879561,8.59707,0.5126173,4.407007,0.9031563
2,25.0,9.0,75.0,24.926,0.206356,5.14363,9.088421,0.5109032,4.643303,0.9027288
3,25.0,9.5,75.0,24.92455,0.2173576,5.417541,9.597192,0.5092436,4.887309,0.9021268
4,25.0,10.0,75.0,24.92242,0.2281957,5.687188,10.09875,0.5074724,5.124838,0.9011199
5,25.0,10.5,75.0,24.92074,0.2389577,5.955003,10.59648,0.505722,5.358876,0.8998947
6,25.0,11.0,75.0,24.91889,0.2496789,6.22172,11.0927,0.5039501,5.590165,0.8984919
7,25.0,11.5,75.0,24.91675,0.2605312,6.49159,11.59508,0.5022354,5.82346,0.8970775
8,25.0,12.0,75.0,24.91493,0.2715885,6.76661,12.1069,0.5005555,6.060178,0.8956003
9,25.5,8.0,75.0,24.92923,0.1847839,4.606519,8.090278,0.5143751,4.161438,0.90338
10,25.5,8.5,75.0,24.92736,0.1957184,4.878743,8.59656,0.512623,4.406794,0.9032642
11,25.5,9.0,75.0,24.9257,0.2063374,5.143104,9.088058,0.5109014,4.643102,0.902782
12,25.5,9.5,75.0,24.92394,0.2173315,5.416759,9.59707,0.5092035,4.886861,0.9021745
13,25.5,10.0,75.0,24.92239,0.2281888,5.68701,10.0985,0.5074728,5.124712,0.9011258
14,25.5,10.5,75.0,24.92117,0.2389442,5.954768,10.59636,0.5057353,5.358953,0.8999431
15,25.5,11.0,75.0,24.91904,0.2496663,6.221445,11.0924,0.5039518,5.590038,0.8985111
16,25.5,11.5,75.0,24.91754,0.2605304,6.491776,11.59498,0.5022458,5.823528,0.8970624
17,25.5,12.0,75.0,24.91542,0.2715865,6.766691,12.10664,0.500569,6.060207,0.8955939
18,26.0,8.0,75.0,25.96843,0.1852279,4.810079,8.0937,0.5372717,4.348516,0.9040427
19,26.0,8.5,75.0,25.96674,0.1961659,5.093789,8.600374,0.5355167,4.605644,0.9041686
20,26.0,9.0,75.0,25.96459,0.2067752,5.368834,9.091619,0.5337529,4.852678,0.9038607
21,26.0,9.5,75.0,25.96315,0.2177606,5.653751,9.600405,0.532066,5.108049,0.9034798
22,26.0,10.0,75.0,25.96111,0.2285958,5.934601,10.10175,0.5303458,5.357419,0.9027429
23,26.0,10.5,75.0,25.95934,0.2393717,6.213932,10.59968,0.528547,5.60243,0.9015918
24,26.0,11.0,75.0,25.95768,0.2500959,6.491909,11.09622,0.5268121,5.845625,0.9004477
25,26.0,11.5,75.0,25.95594,0.260939,6.772918,11.59831,0.5251078,6.090362,0.8992228
26,26.0,12.0,75.0,25.95418,0.2720076,7.059735,12.11025,0.5234209,6.338757,0.8978745
27,26.5,8.0,75.0,25.9681,0.1852203,4.809819,8.093801,0.537248,4.348379,0.9040629
28,26.5,8.5,75.0,25.9662,0.1961663,5.093694,8.600379,0.5354605,4.605164,0.9040912
29,26.5,9.0,75.0,25.96415,0.2067852,5.369002,9.091858,0.5337446,4.85273,0.903842
